index,app_name,review_id,error,raw_response
84,PhonePe,ebb235d3-b5ec-45e7-a0c1-f3498eecf0a9,Rate limit after 4 retries on key-0: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kc622fs7emdbza2nzvf5vgaa` service tier `on_dema,
151,PhonePe,14966f87-096c-4fcf-b170-ffa77d3daaa7,Rate limit after 4 retries on key-1: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4qta8fh4vspfn9xj5cx96` service tier `on_dema,
152,PhonePe,f69ef8a0-2d57-452a-9672-3194a4502156,Rate limit after 4 retries on key-2: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4t5bwen58410zq0ejegbp` service tier `on_dema,
161,PhonePe,0e47bd1b-c4ba-46db-a665-e6021d0c8be5,Rate limit after 4 retries on key-3: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kh9dqaqfeqdttn73vb2y8x26` service tier `on_dema,
88,PhonePe,d7e7217b-8690-48ef-8856-db157978675f,Rate limit after 4 retries on key-0: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kc622fs7emdbza2nzvf5vgaa` service tier `on_dema,
155,PhonePe,b99c7921-8a9c-4907-a69d-80f018efa1d8,Rate limit after 4 retries on key-1: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4qta8fh4vspfn9xj5cx96` service tier `on_dema,
156,PhonePe,e21ee0ae-5750-42e5-84c2-1155c255b55d,Rate limit after 4 retries on key-2: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4t5bwen58410zq0ejegbp` service tier `on_dema,
165,PhonePe,e72dff50-b9a3-411e-82b8-e186247164fe,Rate limit after 4 retries on key-3: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kh9dqaqfeqdttn73vb2y8x26` service tier `on_dema,
122,PhonePe,1ad22205-e1cb-43b9-ae5b-6f6cecdabd6e,Rate limit after 4 retries on key-0: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kc622fs7emdbza2nzvf5vgaa` service tier `on_dema,
159,PhonePe,5885bac0-5c75-4186-9542-12c362c5883e,Rate limit after 4 retries on key-1: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4qta8fh4vspfn9xj5cx96` service tier `on_dema,
160,PhonePe,a0a9b739-d3aa-4e5a-8bae-40bc72f5f1f3,Rate limit after 4 retries on key-2: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4t5bwen58410zq0ejegbp` service tier `on_dema,
169,PhonePe,4c5f13fe-fc6d-41ee-a891-48f2c1bc7b7d,Rate limit after 4 retries on key-3: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kh9dqaqfeqdttn73vb2y8x26` service tier `on_dema,
130,PhonePe,1c74c1d2-dfe9-411a-8b4c-6a8074435722,Rate limit after 4 retries on key-0: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kc622fs7emdbza2nzvf5vgaa` service tier `on_dema,
163,PhonePe,ebf442b4-76d5-4006-bdbc-e4d8c65b7911,Rate limit after 4 retries on key-1: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4qta8fh4vspfn9xj5cx96` service tier `on_dema,
164,PhonePe,29f63e2f-419f-4259-a169-b3709ea241bc,Rate limit after 4 retries on key-2: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4t5bwen58410zq0ejegbp` service tier `on_dema,
173,PhonePe,f1ba1203-28f1-45f9-8e0b-3fffd9dfcae0,Rate limit after 4 retries on key-3: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kh9dqaqfeqdttn73vb2y8x26` service tier `on_dema,
134,PhonePe,f9983ea0-183d-4b3e-9879-bb969bd969d4,Rate limit after 4 retries on key-0: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kc622fs7emdbza2nzvf5vgaa` service tier `on_dema,
167,PhonePe,b3c4ddf7-b76b-4a43-b796-47fa5156ea5f,Rate limit after 4 retries on key-1: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4qta8fh4vspfn9xj5cx96` service tier `on_dema,
168,PhonePe,66db22ed-d40d-4979-a500-e92537914b54,Rate limit after 4 retries on key-2: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4t5bwen58410zq0ejegbp` service tier `on_dema,
177,PhonePe,ee287248-4beb-4493-909c-e22cf91c1d5a,Rate limit after 4 retries on key-3: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kh9dqaqfeqdttn73vb2y8x26` service tier `on_dema,
138,PhonePe,87831ab4-0640-4efd-b5d0-b336da88c719,Rate limit after 4 retries on key-0: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kc622fs7emdbza2nzvf5vgaa` service tier `on_dema,
171,PhonePe,8f81b9c2-e159-493c-9882-fefe3da6b5ec,Rate limit after 4 retries on key-1: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4qta8fh4vspfn9xj5cx96` service tier `on_dema,
172,PhonePe,08480c43-4442-41df-a8aa-7d7036ffe529,Rate limit after 4 retries on key-2: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4t5bwen58410zq0ejegbp` service tier `on_dema,
181,PhonePe,b0cf7ad0-445a-4e8d-9d56-d7462717a0fa,Rate limit after 4 retries on key-3: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kh9dqaqfeqdttn73vb2y8x26` service tier `on_dema,
142,PhonePe,ac101571-6bc7-499d-8b1e-5c71f60e7510,Rate limit after 4 retries on key-0: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kc622fs7emdbza2nzvf5vgaa` service tier `on_dema,
175,PhonePe,88bbcdf0-abfa-41de-9923-4075ec2136b0,Rate limit after 4 retries on key-1: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4qta8fh4vspfn9xj5cx96` service tier `on_dema,
176,PhonePe,3e07f5b8-b72b-4612-b1eb-175e7840ad86,Rate limit after 4 retries on key-2: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kqp4t5bwen58410zq0ejegbp` service tier `on_dema,
185,PhonePe,6f32f787-b711-4d53-9b8b-55b72ff180c5,Rate limit after 4 retries on key-3: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01kh9dqaqfeqdttn73vb2y8x26` service tier `on_dema,
